"sample_id","core_group","fastq_r1_relative","fastq_r2_relative","fastq_r1_exists","fastq_r2_exists","fastq_r1_size_mb","fastq_r2_size_mb","pair_complete","total_pair_size_gb"
"CON1","CON_t0","data_raw/E-MTAB-6664/CON1_R1.fastq.gz","data_raw/E-MTAB-6664/CON1_R2.fastq.gz",TRUE,TRUE,621.774,656.309,TRUE,1.248
"CON2","CON_t0","data_raw/E-MTAB-6664/CON2_R1.fastq.gz","data_raw/E-MTAB-6664/CON2_R2.fastq.gz",TRUE,TRUE,519.491,532.185,TRUE,1.027
"CON3","CON_t0","data_raw/E-MTAB-6664/CON3_R1.fastq.gz","data_raw/E-MTAB-6664/CON3_R2.fastq.gz",TRUE,TRUE,768.774,806.825,TRUE,1.539
"CON4","CON_t0","data_raw/E-MTAB-6664/CON4_R1.fastq.gz","data_raw/E-MTAB-6664/CON4_R2.fastq.gz",TRUE,TRUE,769.396,788.083,TRUE,1.521
"CON5","CON_t0","data_raw/E-MTAB-6664/CON5_R1.fastq.gz","data_raw/E-MTAB-6664/CON5_R2.fastq.gz",TRUE,TRUE,1032.43,1067.236,TRUE,2.05
"CON6","CON_t0","data_raw/E-MTAB-6664/CON6_R1.fastq.gz","data_raw/E-MTAB-6664/CON6_R2.fastq.gz",TRUE,TRUE,631.034,635.41,TRUE,1.237
"INJS1","ACLT_untreated_t7","data_raw/E-MTAB-6664/INJS1_R1.fastq.gz","data_raw/E-MTAB-6664/INJS1_R2.fastq.gz",TRUE,TRUE,770.489,798.973,TRUE,1.533
"INJS2","ACLT_untreated_t7","data_raw/E-MTAB-6664/INJS2_R1.fastq.gz","data_raw/E-MTAB-6664/INJS2_R2.fastq.gz",TRUE,TRUE,696.583,704.647,TRUE,1.368
"INJS3","ACLT_untreated_t7","data_raw/E-MTAB-6664/INJS3_R1.fastq.gz","data_raw/E-MTAB-6664/INJS3_R2.fastq.gz",TRUE,TRUE,634.461,667.821,TRUE,1.272
"INJS4","ACLT_untreated_t7","data_raw/E-MTAB-6664/INJS4_R1.fastq.gz","data_raw/E-MTAB-6664/INJS4_R2.fastq.gz",TRUE,TRUE,514.63,524.619,TRUE,1.015
"INJS5","ACLT_untreated_t7","data_raw/E-MTAB-6664/INJS5_R1.fastq.gz","data_raw/E-MTAB-6664/INJS5_R2.fastq.gz",TRUE,TRUE,673.353,704.307,TRUE,1.345
"INJS6","ACLT_untreated_t7","data_raw/E-MTAB-6664/INJS6_R1.fastq.gz","data_raw/E-MTAB-6664/INJS6_R2.fastq.gz",TRUE,TRUE,386.589,395.03,TRUE,0.763
"INJL1","ACLT_untreated_t28","data_raw/E-MTAB-6664/INJL1_R1.fastq.gz","data_raw/E-MTAB-6664/INJL1_R2.fastq.gz",TRUE,TRUE,573.839,605.399,TRUE,1.152
"INJL2","ACLT_untreated_t28","data_raw/E-MTAB-6664/INJL2_R1.fastq.gz","data_raw/E-MTAB-6664/INJL2_R2.fastq.gz",TRUE,TRUE,553.363,565.313,TRUE,1.092
"INJL3","ACLT_untreated_t28","data_raw/E-MTAB-6664/INJL3_R1.fastq.gz","data_raw/E-MTAB-6664/INJL3_R2.fastq.gz",TRUE,TRUE,649.865,678.374,TRUE,1.297
"INJL4","ACLT_untreated_t28","data_raw/E-MTAB-6664/INJL4_R1.fastq.gz","data_raw/E-MTAB-6664/INJL4_R2.fastq.gz",TRUE,TRUE,705.609,718.285,TRUE,1.391
"INJL5","ACLT_untreated_t28","data_raw/E-MTAB-6664/INJL5_R1.fastq.gz","data_raw/E-MTAB-6664/INJL5_R2.fastq.gz",TRUE,TRUE,633.189,664.949,TRUE,1.268
"INJL6","ACLT_untreated_t28","data_raw/E-MTAB-6664/INJL6_R1.fastq.gz","data_raw/E-MTAB-6664/INJL6_R2.fastq.gz",TRUE,TRUE,551.797,559.927,TRUE,1.086
