"sample_id","library_size","norm_factor","normalized_library_size"
"CON1",9802241,1.02362098687757,10033779.6060317
"CON2",7182805,1.0142935994629,7285473.13769014
"CON3",10664100,0.964633039606171,10286943.1976642
"CON4",13210214,1.02629981009112,13557640.119463
"CON5",17038498,1.01433544815905,17282752.5047871
"CON6",10394313,1.03873075582984,10796892.5988219
"INJS1",14050912,0.966572987957271,13581231.9953647
"INJS2",13326409,0.95718731410357,12755869.6373556
"INJS3",12059998,1.06422606488721,12834564.2140877
"INJS4",8857217,1.04983328904753,9298601.25491768
"INJS5",12116184,1.02109109321667,12371727.5661744
"INJS6",7482593,1.07392820759825,8035767.68867723
"INJL1",9737507,0.953885984241538,9288471.44875386
"INJL2",9393742,0.991942826988534,9318054.99548092
"INJL3",12121875,0.946360893488303,11471668.4557535
"INJL4",13604350,0.883817700185657,12023765.3295207
"INJL5",11646492,0.989129795970482,11519892.2557319
"INJL6",9446634,1.04062613166732,9830414.19669698
