"pig_ensg","pig_symbol","human_gene","mouse_symbol","early_signature_direction","chronic_gene_symbol","chronic_logFC","chronic_PValue","chronic_FDR","tested_in_chronic_DE","chronic_direction_consistent_with_early","chronic_FDR_lt_0.05","chronic_abslogFC_gt_1","chronic_strict_DEG","chronic_strict_and_direction_consistent","chronic_retention_class","display_symbol"
"ENSSSCG00000008601","SDC1","SDC1","Sdc1","Up_in_ACLR","SDC1",1.91024306892836,1.57990242817792e-05,0.000773990975273692,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"direction_consistent_strict","SDC1"
"ENSSSCG00000017082","SPARC","SPARC","Sparc","Up_in_ACLR","SPARC",1.23975391556808,0.00013881837799479,0.00268736706755237,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"direction_consistent_strict","SPARC"
"ENSSSCG00000033608","LOXL2","LOXL2","Loxl2","Up_in_ACLR","LOXL2",1.03878999296215,0.00045776158636154,0.00573815502903852,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"direction_consistent_strict","LOXL2"
"ENSSSCG00000025698","SERPINE1","SERPINE1","Serpine1","Up_in_ACLR","SERPINE1",0.950239422520947,0.0063346139926144,0.0312885615005573,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"direction_consistent_FDR_only","SERPINE1"
"ENSSSCG00000000265","ESPL1","ESPL1","Espl1","Up_in_ACLR","ESPL1",0.706698605544028,0.0253591587119906,0.0814195191548818,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","ESPL1"
"ENSSSCG00000010703","HTRA1","HTRA1","Htra1","Up_in_ACLR","HTRA1",0.638123342781934,0.00023505776580012,0.00373267585536839,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"direction_consistent_FDR_only","HTRA1"
"ENSSSCG00000000217","RACGAP1","RACGAP1","Racgap1","Up_in_ACLR","RACGAP1",0.537841128644892,0.0157520301389336,0.0584041677091145,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","RACGAP1"
"ENSSSCG00000005096","HIF1A","HIF1A","Hif1a","Up_in_ACLR","HIF1A",0.510589312237328,0.00165842925063601,0.0129465346866724,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"direction_consistent_FDR_only","HIF1A"
"ENSSSCG00000009378","CKAP2","CKAP2","Ckap2","Up_in_ACLR","CKAP2",0.510525797134392,0.0613236520796858,0.149595012160999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","CKAP2"
"ENSSSCG00000035537","RUNX1","RUNX1","Runx1","Up_in_ACLR","RUNX1",0.360997317691067,0.00943537076583808,0.0411561614598322,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"direction_consistent_FDR_only","RUNX1"
"ENSSSCG00000010214","CDK1","CDK1","Cdk1","Up_in_ACLR","CDK1",0.324849738945049,0.487973510347417,0.638586450075763,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","CDK1"
"ENSSSCG00000001510","KIFC1","KIFC1","Kifc1","Up_in_ACLR","KIFC1",0.271834828760907,0.262899378507729,0.418633471381627,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","KIFC1"
"ENSSSCG00000015604","NEK2","NEK2","Nek2","Up_in_ACLR","NEK2",0.218022593878301,0.256306977389598,0.411319152684387,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","NEK2"
"ENSSSCG00000059646","TNFSF15","TNFSF15","Tnfsf15","Up_in_ACLR","TNFSF15",-0.215648160322807,0.212265030601527,0.359888550412453,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"opposite_or_reversed","TNFSF15"
"ENSSSCG00000003931","KIF2C","KIF2C","Kif2c","Up_in_ACLR","KIF2C",0.139347150579128,0.491376533997475,0.641349906585014,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","KIF2C"
"ENSSSCG00000030469","BUB1","BUB1","Bub1","Up_in_ACLR","BUB1",0.124803375937672,0.66442798254512,0.785157838722607,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","BUB1"
"ENSSSCG00000014326","KIF20A","KIF20A","Kif20a","Up_in_ACLR","KIF20A",0.095494755315531,0.74230256354148,0.840852861825231,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","KIF20A"
"ENSSSCG00000010540","ENTPD7","ENTPD7","Entpd7","Up_in_ACLR","ENTPD7",0.0293224378438834,0.715236065396599,0.821822500989806,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"direction_consistent_but_attenuated","ENTPD7"
"ENSSSCG00000029326","CCNB1","CCNB1","Ccnb1","Up_in_ACLR",NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,"not_tested","CCNB1"
"ENSSSCG00000000739","FOXM1","FOXM1","Foxm1","Up_in_ACLR",NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,"not_tested","FOXM1"
"ENSSSCG00000004466","TTK","TTK","Ttk","Up_in_ACLR",NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,"not_tested","TTK"
"ENSSSCG00000011579","PPARG","PPARG","Pparg","Down_in_ACLR","PPARG",-1.76057116453034,4.98166965695574e-05,0.00149684301302419,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"direction_consistent_strict","PPARG"
"ENSSSCG00000029944","FASN","FASN","Fasn","Down_in_ACLR","FASN",-0.415239695433896,0.00875764951196425,0.0390152879433409,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"direction_consistent_FDR_only","FASN"
"ENSSSCG00000040779","CBS","CBS","Cbs","Down_in_ACLR",NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,"not_tested","CBS"
